steps,time,reward,delta,converged
1,0.03456791894768685,0.0,0,False
2,0.03239352491982572,0.0,0,False
3,0.03186682242449024,0.0,0,False
4,0.03219266059932124,0.0,0,False
5,0.03226741837170266,0.0,0,False
6,0.03199443923040235,0.0,0,False
7,0.032563428950197704,0.0,0,False
8,0.0311989108013222,0.0,0,False
9,0.032012184761697426,0.0,0,False
10,0.031132837012592063,0.0,0,False
11,0.030908941255802347,0.0,0,False
12,0.03083380591851892,0.0,0,False
13,0.03213602592222742,0.0,0,False
14,0.03134200775275531,0.0,0,False
15,0.030759803273213038,0.0,0,False
16,0.031415255267347675,0.0,0,False
17,0.031143031254032394,0.0,0,False
18,0.03165953950792755,0.0,0,False
19,0.03131218015550985,0.0,0,False
20,0.03122269736650196,0.0,0,False
21,0.0351523888130032,0.0,0,False
22,0.03111093827010336,0.0,0,False
23,0.031320109010266606,0.0,0,False
24,0.031002954819996376,0.0,0,False
25,0.03213602592222742,0.0,0,False
26,0.031318976317379565,0.0,0,False
27,0.04131310896445939,0.0,0,False
28,0.038700362537383626,0.0,0,False
29,0.037317721292311035,0.0,0,False
30,0.03764318190224003,0.0,0,False
31,0.037483094549315865,0.0,0,False
32,0.03186002626353002,0.0,0,False
33,0.03228327608212567,0.0,0,False
34,0.031892874376353575,0.0,0,False
35,0.03255663278923748,0.0,0,False
36,0.03191817119841289,0.0,0,False
37,0.032475078854076855,0.0,0,False
38,0.031531545137113426,0.0,0,False
39,0.03208203419671918,0.0,0,False
40,0.031849076892285666,0.0,0,False
41,0.0338781085829396,0.0,0,False
42,0.03338916253960633,0.0,0,False
43,0.032945146672318515,0.0,0,False
44,0.031634242684958735,0.0,0,False
45,0.03143488862224331,0.0,0,False
46,0.03333479325010558,0.0,0,False
47,0.030975770174336503,0.0,0,False
48,0.03114189856023586,0.0,0,False
49,0.03225609143737529,0.0,0,False
50,0.03175695115169219,0.0,0,False
51,0.032792988174151105,0.0,0,False
52,0.03434251293401758,0.0,0,False
53,0.03239692300030583,0.0,0,False
54,0.033693857101752656,0.0,0,False
55,0.03305803846251365,0.0,0,False
56,0.032144332341886184,0.0,0,False
57,0.03261137964364025,0.0,0,False
58,0.0339804285658829,0.0,0,False
59,0.031125285721827822,0.0,0,False
60,0.031630844604478625,0.0,0,False
61,0.03209222843815951,0.0,0,False
62,0.03072431220971339,0.0,0,False
63,0.030773395596042974,0.0,0,False
64,0.03320340079972084,0.0,0,False
65,0.032780528545117704,0.0,0,False
66,0.032053716858172265,0.0,0,False
67,0.032624594401568174,0.0,0,False
68,0.030710342322890938,0.0,0,False
69,0.03292438062453584,0.0,0,False
70,0.03193100839143881,0.0,0,False
71,0.0309542489985688,0.0,0,False
72,0.031124153028940782,0.0,0,False
73,0.03297157618908386,0.0,0,False
74,0.03267027970741765,0.0,0,False
75,0.032691800884094846,0.0,0,False
76,0.031298587832679914,0.0,0,False
77,0.030947452836699085,0.0,0,False
78,0.03073337375826668,0.0,0,False
79,0.032788457398964965,0.0,0,False
80,0.030924043837330828,0.0,0,False
81,0.0318037691513382,0.0,0,False
82,0.033738032148903585,0.0,0,False
83,0.03160441508771328,0.0,0,False
84,0.032049941212790145,0.0,0,False
85,0.032165475954570866,0.0,0,False
86,0.0331339289286916,0.0,0,False
87,0.030968218884481757,0.0,0,False
88,0.03116644025340065,0.0,0,False
89,0.032486405790223216,0.0,0,False
90,0.030839469385682605,0.0,0,False
91,0.03152021820187656,0.0,0,False
92,0.0333880298458098,0.0,0,False
93,0.030919513062144688,0.0,0,False
94,0.03126158651048172,0.0,0,False
95,0.0319525295690255,0.0,0,False
96,0.03161309907227405,0.0,0,False
97,0.03053137674305617,0.0,0,False
98,0.03351677934460895,0.0,0,False
99,0.03127291344662808,0.0,0,False
100,0.031357487896457314,0.0,0,False
101,0.03163348755606421,0.0,0,False
102,0.031235912124429888,0.0,0,False
103,0.032674055351890274,0.0,0,False
104,0.03350582997427409,0.0,0,False
105,0.03219001764773566,0.0,0,False
106,0.031261208946489205,0.0,0,False
107,0.03077452828983951,0.0,0,False
108,0.030702413468134182,0.0,0,False
109,0.0311369902219667,0.0,0,False
110,0.03220549779234716,0.0,0,False
111,0.03159157789468736,0.0,0,False
112,0.03182151468354277,0.0,0,False
113,0.03357228132790624,0.0,0,False
